Project parameters,,,,,,,
name,amount,,,,,,
htp_mass,296,,,,,,
vtp_mass,596,,,,,,
engineNacelle_mass,426.152,,,,,,
enginePylon_mass,1000,,,,,,
engineSystems_mass,450,,,,,,
gearbox_mass,900,,,,,,
gasTurbine_mass,720,,,,,,
furnishing_mass,400,,,,,,
,,,,,,,
Database,materials,,,,,,
format,Excel,,,,,,
,,,,,,,
Activity,AFRP,,,,,,
code,fab05c17548a44a0a7852635c994794b,,,,,,
location,GLO,,,,,,
reference product,AFRP,,,,,,
type,process,,,,,,
unit,kilogram,,,,,,
worksheet name,materials,,,,,,
Exchanges,,,,,,,
name,amount,database,location,unit,categories,type,reference product
"Carbon dioxide, fossil",1,,,kilogram,air::urban air close to ground,biosphere,
AFRP,1,materials,GLO,kilogram,,production,AFRP
"market for carbon fibre reinforced plastic, injection moulded",1,cutoff391,GLO,kilogram,,technosphere,"carbon fibre reinforced plastic, injection moulded"
,,,,,,,
Activity,Al 2024,,,,,,
code,31f1a80380444c41ad2b1b1cceb9d5d5,,,,,,
location,GLO,,,,,,
reference product,Al 2024,,,,,,
type,process,,,,,,
unit,kilogram,,,,,,
worksheet name,materials,,,,,,
Exchanges,,,,,,,
name,amount,database,location,unit,categories,type,reference product
"Carbon monoxide, fossil",0.12,,,kilogram,air::non-urban air or from high stacks,biosphere,
Al 2024,1,materials,GLO,kilogram,,production,Al 2024
"market for aluminium, primary, ingot",0.935,cutoff391,"IAI Area, EU27 & EFTA",kilogram,,technosphere,"aluminium, primary, ingot"
"market for copper scrap, sorted, pressed",0.044,cutoff391,GLO,kilogram,,technosphere,"copper scrap, sorted, pressed"
market for magnesium,0.015,cutoff391,GLO,kilogram,,technosphere,magnesium
market for manganese,0.006,cutoff391,GLO,kilogram,,technosphere,manganese
,,,,,,,
Activity,Al 7075,,,,,,
code,b9951ab84e9d4cb0a1640cd0a01fd32c,,,,,,
location,GLO,,,,,,
reference product,Al 7075,,,,,,
type,process,,,,,,
unit,kilogram,,,,,,
worksheet name,materials,,,,,,
Exchanges,,,,,,,
name,amount,database,location,unit,type,reference product,
Al 7075,1,materials,GLO,kilogram,production,Al 7075,
"market for aluminium, primary, ingot",0.901,cutoff391,"IAI Area, EU27 & EFTA",kilogram,technosphere,"aluminium, primary, ingot",
market for chromium,0.002,cutoff391,GLO,kilogram,technosphere,chromium,
"market for copper scrap, sorted, pressed",0.016,cutoff391,GLO,kilogram,technosphere,"copper scrap, sorted, pressed",
market for magnesium,0.025,cutoff391,GLO,kilogram,technosphere,magnesium,
market for zinc,0.056,cutoff391,GLO,kilogram,technosphere,zinc,
,,,,,,,
Activity,CFRP production,,,,,,
code,a835e7d64a65472db62efc6458d76afe,,,,,,
location,GLO,,,,,,
reference product,CFRP,,,,,,
type,process,,,,,,
unit,kilogram,,,,,,
worksheet name,materials,,,,,,
Exchanges,,,,,,,
name,amount,database,location,unit,type,reference product,
CFRP production,1,materials,GLO,kilogram,production,CFRP,
"market for carbon fibre reinforced plastic, injection moulded",1,cutoff391,GLO,kilogram,technosphere,"carbon fibre reinforced plastic, injection moulded",
,,,,,,,
Activity,GFRP,,,,,,
code,cd16b5591d9e48f3a3ad7bed69a7f250,,,,,,
location,GLO,,,,,,
reference product,GFRP,,,,,,
type,process,,,,,,
unit,kilogram,,,,,,
worksheet name,materials,,,,,,
Exchanges,,,,,,,
name,amount,database,location,unit,type,reference product,
GFRP,1,materials,GLO,kilogram,production,GFRP,
"market for glass fibre reinforced plastic, polyamide, injection moulded",1,cutoff391,GLO,kilogram,technosphere,"glass fibre reinforced plastic, polyamide, injection moulded",
,,,,,,,
Activity,High-Strength Steel,,,,,,
code,d7163e2b875a420995749f0eed63de0d,,,,,,
location,GLO,,,,,,
reference product,High-Strength Steel,,,,,,
type,process,,,,,,
unit,kilogram,,,,,,
worksheet name,materials,,,,,,
Exchanges,,,,,,,
name,amount,database,location,unit,categories,type,reference product
Dinitrogen monoxide,0.02,,,kilogram,air::lower stratosphere + upper troposphere,biosphere,
High-Strength Steel,1,materials,GLO,kilogram,,production,High-Strength Steel
"market for steel, chromium steel 18/8",1,cutoff391,GLO,kilogram,,technosphere,"steel, chromium steel 18/8"
,,,,,,,
Activity,Ni-based Superalloy,,,,,,
code,edad4946ef5a4ed78c3c9206735edc5a,,,,,,
location,GLO,,,,,,
reference product,Ni-based Superalloy,,,,,,
type,process,,,,,,
unit,kilogram,,,,,,
worksheet name,materials,,,,,,
Exchanges,,,,,,,
name,amount,database,location,unit,type,reference product,
Ni-based Superalloy,1,materials,GLO,kilogram,production,Ni-based Superalloy,
"market for aluminium, primary, ingot",0.004,cutoff391,"IAI Area, EU27 & EFTA",kilogram,technosphere,"aluminium, primary, ingot",
market for carbon black,0.004,cutoff391,GLO,kilogram,technosphere,carbon black,
market for chromium,0.186,cutoff391,GLO,kilogram,technosphere,chromium,
market for iron pellet,0.185,cutoff391,GLO,kilogram,technosphere,iron pellet,
market for manganese,0.002,cutoff391,GLO,kilogram,technosphere,manganese,
market for molybdenum,0.031,cutoff391,GLO,kilogram,technosphere,molybdenum,
"market for nickel, class 1",0.576,cutoff391,GLO,kilogram,technosphere,"nickel, class 1",
"market for silicon, metallurgical grade",0.003,cutoff391,GLO,kilogram,technosphere,"silicon, metallurgical grade",
market for titanium,0.009,cutoff391,GLO,kilogram,technosphere,titanium,
,,,,,,,
Activity,Ti64,,,,,,
code,0508a9434cd24602a9e74cdfd0f70e34,,,,,,
location,GLO,,,,,,
reference product,Ti64,,,,,,
type,process,,,,,,
unit,kilogram,,,,,,
worksheet name,materials,,,,,,
Exchanges,,,,,,,
name,amount,database,location,unit,type,reference product,
Ti64,1,materials,GLO,kilogram,production,Ti64,
"market for aluminium, primary, ingot",0.06,cutoff391,"IAI Area, EU27 & EFTA",kilogram,technosphere,"aluminium, primary, ingot",
"market for tantalum powder, capacitor-grade",0.04,cutoff391,GLO,kilogram,technosphere,"tantalum powder, capacitor-grade",
market for titanium,0.9,cutoff391,GLO,kilogram,technosphere,titanium,
